truthSat.TAIModJulian     xWithNoise                yWithNoise                zWithNoise                vxWithNoise               vyWithNoise               vzWithNoise               
28620.1360030787          -6448.865734826743        747.7536833217006         1188.702798771362         -0.702726302986852        -7.672814709620368        1.014075330331661         
28620.13600363425         -6448.897070913788        747.3845409091093         1188.750424795266         -0.7022500329379613       -7.672848744504351        1.013808155580115         
28620.13600385417         -6448.912582066651        747.2395203179852         1188.770546719581         -0.7022277628370297       -7.672826693403592        1.013747111101956         
28620.13600431713         -6448.937468291762        746.9359750220843         1188.808719710134         -0.7018197152246158       -7.672873655965684        1.013911872625952         
28620.13600451389         -6448.951029820886        746.8043585825724         1188.826998574243         -0.7017502318819772       -7.672991710407294        1.014009803856581         
28620.13600474537         -6448.964369318917        746.6490543408939         1188.846083941927         -0.7014732112192263       -7.673080069634776        1.013812832829658         
28620.1360049537          -6448.978463418804        746.5118239819417         1188.867398523457         -0.7012005263772898       -7.673166044388544        1.013740794781395         
28620.13600516204         -6448.991446544641        746.3734812494811         1188.883242146976         -0.7009971081159952       -7.67302807796647         1.013628434736976         
28620.13600537037         -6449.003274462588        746.2344616165793         1188.902425909816         -0.701033699596269        -7.673237677411103        1.013597500256987         
28620.13600559028         -6449.016404734622        746.0894269399336         1188.921025311957         -0.7006875502899612       -7.672977121600293        1.013539957493334         
28620.13600579861         -6449.028855602648        745.9514330236599         1188.938385345481         -0.7006566185089876       -7.673103846199589        1.013578688555426         
28620.13600599537         -6449.042995710519        745.8221180511598         1188.95794576259          -0.700318368229128        -7.672963371701341        1.013663769828585         
28620.13600622685         -6449.056935910438        745.6679269409094         1188.975048197753         -0.7002722230979787       -7.673222885032768        1.013568540905542         
28620.13600642361         -6449.068787899865        745.5367498048882         1188.995157180076         -0.7002489773298338       -7.673142544969366        1.013536759259694         
28620.13600662037         -6449.079380668569        745.4059062180722         1189.011654389614         -0.7000442065875176       -7.673068857554641        1.013395709677976         
28620.13600684028         -6449.092605081537        745.2603001924858         1189.031546820211         -0.6999902230481906       -7.6729677588619          1.013321959452772         
28620.13600703704         -6449.103223579601        745.1297074338768         1189.048399125924         -0.6998164783571259       -7.672962548885931        1.01335446221378          
28620.1360072338          -6449.117654473393        745.0000997995306         1189.066815531299         -0.6996675435309285       -7.673279619312388        1.013318088632882         
28620.13600743055         -6449.127915100359        744.8696956749942         1189.081563182696         -0.6994471059516687       -7.672997916382831        1.013402337792015         
28620.13600768519         -6449.145635444199        744.6993630271545         1189.106276911951         -0.699110740922289        -7.673092005173784        1.013345314774086         
28620.13600788194         -6449.155604961476        744.5684400283689         1189.122857126644         -0.6990419066217568       -7.67345550934165         1.013271879804414         
28620.13600809028         -6449.169597881777        744.430196884791          1189.140058192203         -0.6988838706147882       -7.673371428419361        1.013361774923186         
28620.13600832176         -6449.181248881771        744.2776324734499         1189.162212034381         -0.6987711287221163       -7.673292424181526        1.013236666939656         
28620.13600851851         -6449.193117431267        744.1485101358668         1189.177632024892         -0.6984318487649649       -7.67337987493161         1.013172905991682         
28620.13600872685         -6449.205606114363        744.0088103943899         1189.196910742391         -0.6984334348696337       -7.673489973756555        1.013191215795834         
28620.13600905092         -6449.225452346546        743.7950014122196         1189.224686890497         -0.6982555190958467       -7.673346087579692        1.013162434344344         
28620.13600925926         -6449.238037872021        743.6569438250915         1189.241751658549         -0.6979054993716616       -7.673371012575335        1.012982861072621         
28620.13600945601         -6449.25073042334         743.5250968732644         1189.260022982171         -0.6977704456876362       -7.673308679987631        1.013036069654295         
28620.13600965277         -6449.261813086487        743.3946510198975         1189.278115811573         -0.6977155086933023       -7.673481534021566        1.012849076123812         
28620.13600988425         -6449.274821956508        743.2423726639232         1189.299228710448         -0.6976278008945526       -7.673377171991753        1.012908067648108         
28620.1360100926          -6449.287892538813        743.1060388869352         1189.317525493208         -0.6971973597746034       -7.673538741108641        1.01290137419444          
28620.13601027778         -6449.299509649079        742.982700064917          1189.333262557622         -0.6973581728094226       -7.673482150109349        1.012886446236073         
28620.13601050926         -6449.313900066145        742.8296640072255         1189.352189122744         -0.6969709025274823       -7.673358401391707        1.012934806506632         
28620.13601071759         -6449.326816843903        742.6905064340295         1189.371274699547         -0.6967616421235004       -7.673461229085396        1.012745449832812         
28620.13601091435         -6449.338214907682        742.5586933647317         1189.387305496304         -0.6965314350774964       -7.673397800871764        1.012730307284225         
28620.13601116898         -6449.35343668122         742.3914776009698         1189.410105732199         -0.6964740854601014       -7.673397670849315        1.012635789185049         
28620.13601136574         -6449.36475257802         742.25966071583           1189.428712839321         -0.6964935966813439       -7.673681919394459        1.012643661516875         
28620.13601157408         -6449.378620508573        742.1217778668334         1189.444758352639         -0.6962040578725349       -7.673649375862471        1.012815113549013         
28620.13601180556         -6449.391102260643        741.9696007417666         1189.466862754444         -0.6960697671112339       -7.673723816223013        1.012798298677421         
28620.13601203704         -6449.405779570674        741.8150589703407         1189.485606846256         -0.6957702394319334       -7.673790911064879        1.012927920170426         
28620.1360122338          -6449.415619003554        741.6842978452927         1189.5013979404           -0.6955999972225344       -7.673617896231631        1.012687085962588         
28620.13601245371         -6449.430026047932        741.5393390158695         1189.523565846733         -0.6954154910102097       -7.673662250831101        1.012619042471559         
28620.13601268519         -6449.443885090976        741.3868067244312         1189.542429049964         -0.6952403258458582       -7.673782351509344        1.012464964532115         
28620.13601288195         -6449.453946093002        741.2557075188927         1189.560270474646         -0.6952529470200999       -7.673845936101323        1.01256890341304          
28620.13601310186         -6449.471320372011        741.1097409775648         1189.579007680817         -0.6948751491332162       -7.673632578548239        1.012531723320994         
28620.13601332175         -6449.482219516663        740.9630250302232         1189.600217520964         -0.6951440482879069       -7.673644496115219        1.012619903409046         
28620.13601351851         -6449.494016279238        740.8316545309206         1189.615279042949         -0.6946117954764983       -7.673552466452189        1.012503890305424         
28620.13601371527         -6449.507767215572        740.704541481315          1189.633420328674         -0.6947062541991355       -7.673793531208025        1.012138503194298         
28620.13601391203         -6449.518514795044        740.5731297395834         1189.64997021332          -0.6943140299619193       -7.673770953566613        1.012362680409856         
28620.13601416666         -6449.534551124487        740.4025428078224         1189.670402257271         -0.6944220657664988       -7.673769474052704        1.012279801443965         
28620.13601442129         -6449.547261940354        740.2326274387732         1189.693313372754         -0.6939307227771815       -7.67395310341654         1.012380428041689         
28620.13601461805         -6449.560221183221        740.1043960087751         1189.710356083129         -0.6937546424250313       -7.673804097779707        1.012162180317823         
28620.13601484953         -6449.573146578751        739.9511991175934         1189.732399339331         -0.6936270530908019       -7.673635242978077        1.012298118623727         
28620.13601505787         -6449.586321465194        739.8120410328679         1189.749944938396         -0.6935452227731298       -7.673807648976052        1.012393183012735         
28620.13601530092         -6449.602061669709        739.6505517590332         1189.771450810608         -0.6933254894630769       -7.673650852370945        1.012222841835035         
28620.13601554398         -6449.614476698544        739.4888291162426         1189.793147331839         -0.6931219403898921       -7.673962536926551        1.012220558966725         
28620.13601574074         -6449.628253781617        739.360751201544          1189.810737558437         -0.6927640585365951       -7.673908374647243        1.012001781126439         
28620.13601594907         -6449.640495254597        739.2222601461084         1189.828575491102         -0.6927801339512518       -7.674022655047017        1.012116229681143         
28620.13601616898         -6449.653000031678        739.0762134546989         1189.84712715106          -0.6926809551464482       -7.673923540538701        1.012115617115388         
28620.13601640046         -6449.667991095009        738.9232424641692         1189.869717188528         -0.6924026025179844       -7.674056774068039        1.012039888513362         
28620.13601659722         -6449.680589410991        738.7915994639914         1189.884727433928         -0.6923364817455976       -7.674093600582871        1.012036383577238         
28620.13601680555         -6449.68933205237         738.6524794355954         1189.901938245961         -0.6920747658655917       -7.673981971281875        1.012148224978974         
28620.13601704861         -6449.706643019593        738.4928624303519         1189.924695732353         -0.6918164533945245       -7.673970989014133        1.011830710355024         
28620.13601724537         -6449.716142028959        738.3620821347587         1189.942461826638         -0.6918315248260982       -7.673974770472799        1.012131560473244         
28620.1360174537          -6449.730614164438        738.2259091460639         1189.960750014662         -0.6916382603089415       -7.674101105986554        1.011872373894985         
28620.13601767361         -6449.744030459547        738.0774751298039         1189.979488923534         -0.6914179160628589       -7.673905290360604        1.011860432370445         
28620.13601787037         -6449.755553401351        737.9477996340698         1189.995567530657         -0.6914638295897065       -7.674184270492578        1.011683305247092         
28620.13601805556         -6449.765359350848        737.8240163237286         1190.011989686144         -0.6912838853415182       -7.6741492611025          1.01176960966859          
28620.13601826389         -6449.778502338492        737.6882546970563         1190.030180738979         -0.6911159143764757       -7.674271461576742        1.011781104103707         
28620.13601850695         -6449.79425231343         737.5253537726571         1190.053185589644         -0.6908878879357507       -7.67406359764576         1.011583001282093         
28620.13601870371         -6449.806053247656        737.3940327498087         1190.069728194174         -0.6907109606195677       -7.674237130660901        1.011664377898203         
28620.13601890047         -6449.818836365216        737.2649163973074         1190.08604080848          -0.690618177247029        -7.674200615958939        1.011764625847225         
28620.13601912036         -6449.8287071673          737.1180435976856         1190.10558083881          -0.6902442550875397       -7.674181305506992        1.011593064645323         
28620.13601931712         -6449.843828512944        736.9880397801717         1190.123320125434         -0.6902805347022579       -7.674280541945312        1.011589207755911         
28620.13601953703         -6449.856033223624        736.8422971174027         1190.141374838382         -0.6899814066624003       -7.674314639114287        1.011631669072362         
28620.13601984953         -6449.871446231519        736.6370102316906         1190.16773745694          -0.6897618934459037       -7.67426152860461         1.011647883889113         
28620.13602004629         -6449.885644849077        736.5063621145745         1190.186582568623         -0.689705221810154        -7.674308017929039        1.011480590764701         
