truthSat.TAIModJulian     truthSat.X                truthSat.Y                truthSat.Z                truthSat.VX               truthSat.VY               truthSat.VZ               
28620.1360030787          -6448.864371636204        747.7544136727006         1188.701666972282         -0.702769761770622        -7.672808142074697        1.01397041104505          
28620.13600363425         -6448.898093881553        747.3861219520011         1188.750335081831         -0.7023400671442279       -7.672857939818136        1.013890971659236         
28620.13600385417         -6448.911437429144        747.2403297910628         1188.769599725415         -0.7021699681484057       -7.672877645911233        1.013859523985395         
28620.13600431713         -6448.939517066167        746.9334138557342         1188.810152782306         -0.7018118827014532       -7.672919117671785        1.013793320176372         
28620.13600451389         -6448.951446574585        746.8029740809565         1188.827387029583         -0.7016596959167771       -7.672936738009821        1.013765182874266         
28620.13600474537         -6448.965477978068        746.6495151389305         1188.847662002209         -0.7014806522820911       -7.672957463878547        1.01373207964413          
28620.1360049537          -6448.978103179553        746.5114017367288         1188.865908911502         -0.7013195126794919       -7.672976113517886        1.013702286254734         
28620.13600516204         -6448.990725480521        746.3732879988646         1188.884155284511         -0.7011583727630267       -7.672994759706409        1.013672492408458         
28620.13600537037         -6449.00334488097         746.2351739254001         1188.902401121226         -0.7009972325327678       -7.67301340244411         1.013642698105318         
28620.13600559028         -6449.016662212507        746.089386483838          1188.921660033715         -0.7008271397271467       -7.673033077145735        1.013611248067487         
28620.13600579861         -6449.029275650755        745.9512717207234         1188.939904768024         -0.7006659988520936       -7.673051712790055        1.013581452825278         
28620.13600599537         -6449.041185679131        745.8208296920257         1188.957135413529         -0.7005138099599495       -7.673069309952198        1.013553312454842         
28620.13600622685         -6449.055194164869        745.6673680988334         1188.977406148711         -0.7003347638464749       -7.673090008555105        1.013520205615016         
28620.13600642361         -6449.067098562243        745.5369254191647         1188.994635753006         -0.7001825743457821       -7.673107599017894        1.013492064357759         
28620.13600662037         -6449.079000372393        745.4064824404844         1189.011864878897         -0.7000303845655825       -7.673125186402592        1.013463922693064         
28620.13600684028         -6449.092299333801        745.2606928752346         1189.031120394626         -0.6998602897746684       -7.673144839248773        1.013432469762139         
28620.13600703704         -6449.10419566511         745.1302492635256         1189.048348507401         -0.6997080994027725       -7.673162420115134        1.013404327234666         
28620.1360072338          -6449.116089409178        744.9998053529681         1189.065576141749         -0.6995559087515592       -7.67317999790338         1.013376184299787         
28620.13600743055         -6449.1279798666          744.869368816812          1189.082802284316         -0.6994037267735049       -7.673197571579787        1.013348042613019         
28620.13600768519         -6449.143365281308        744.7005505468765         1189.105096553931         -0.6992067644378078       -7.673220311786755        1.013311619556907         
28620.13600788194         -6449.155249803623        744.5701133254845         1189.122321598954         -0.6990545818193732       -7.673237878401981        1.013283476935627         
28620.13600809028         -6449.167832034691        744.4319872030325         1189.140561446591         -0.6988934285465243       -7.673256477119827        1.013253675013531         
28620.13600832176         -6449.181808112767        744.2785218668824         1189.160826188973         -0.6987143789348024       -7.673277137166368        1.013220563070658         
28620.13600851851         -6449.193684265009        744.1480836796005         1189.178049686115         -0.6985621954138103       -7.673294693823455        1.013192419131578         
28620.13600872685         -6449.206257632623        744.0099565345091         1189.196287894608         -0.6984010411854171       -7.673313281996157        1.013162615814045         
28620.13600905092         -6449.225808654232        743.7951110312451         1189.22465478571          -0.6981503790875768       -7.673342187433477        1.013116258421385         
28620.13600925926         -6449.23837460873         743.6569830313006         1189.242891623223         -0.6979892240605184       -7.673360766786545        1.013086453936854         
28620.13600945601         -6449.250238434057        743.5265434225236         1189.260112840629         -0.6978370392114631       -7.673378308777874        1.01305830805723          
28620.13600965277         -6449.262100370073        743.3960958421804         1189.277334592609         -0.6976848451312687       -7.673395848723037        1.013030160114613         
28620.13600988425         -6449.276052276454        743.242627718886          1189.297594864654         -0.6975057929156512       -7.673416480011682        1.012997044366607         
28620.1360100926          -6449.288606627744        743.1044983817249         1189.315829556179         -0.6973446366394535       -7.673435045559997        1.012967238055648         
28620.13601027778         -6449.299762995992        742.981723289001          1189.332036820042         -0.6972013943120499       -7.673451544455609        1.012940744645565         
28620.13601050926         -6449.313705233345        742.8282540519069         1189.352295303763         -0.6970223410561093       -7.673472164240652        1.012907627375701         
28620.13601071759         -6449.32625018515         742.6901313859579         1189.370527372802         -0.6968611927964866       -7.673490718404434        1.012877821350938         
28620.13601091435         -6449.338095531763        742.5596818948188         1189.387746056486         -0.6967089969315902       -7.673508238612559        1.012849670797269         
28620.13601116898         -6449.353420963141        742.3908644642049         1189.410028348507         -0.6965120371641772       -7.673530907253629        1.01281324006456          
28620.13601136574         -6449.365260374102        742.2604142899155         1189.427245934301         -0.6963598406613302       -7.673548420399876        1.012785088576782         
28620.13601157408         -6449.377793400888        742.1222902514834         1189.445475797625         -0.696198691120033        -7.673566960375992        1.012755280675349         
28620.13601180556         -6449.391715584156        741.9688187063095         1189.465730572036         -0.6960196357087235       -7.673587556301896        1.012722160249522         
28620.13601203704         -6449.405634186314        741.8153467492597         1189.485984684032         -0.6958405799128533       -7.673608147967203        1.012689039260191         
28620.1360122338          -6449.417462182491        741.6848952619936         1189.503200158397         -0.6956883821840768       -7.673625647532809        1.012660885976217         
28620.13601245371         -6449.430678645767        741.5390961889149         1189.522440416305         -0.6955182785115096       -7.67364520222801         1.012629420059422         
28620.13601268519         -6449.44458722077         741.385623079066          1189.542692673481         -0.6953392216393955       -7.673665781963581        1.012596297492376         
28620.13601288195         -6449.45640669385         741.255170612108          1189.559906571226         -0.6951870229960292       -7.673683271388889        1.012568142867387         
28620.13601310186         -6449.469613631294        741.1093704442837         1189.579145067            -0.6950169183015102       -7.673702814750788        1.012536675451852         
28620.13601332175         -6449.482816641897        740.9635775788943         1189.598381952384         -0.6948468222133315       -7.673722353239145        1.012505209184067         
28620.13601351851         -6449.49462774418         740.8331241503092         1189.615594301615         -0.6946946226723653       -7.673739832705338        1.01247705324215          
28620.13601371527         -6449.506436259066        740.7026704245995         1189.632806172192         -0.6945424228540826       -7.673757309093188        1.012448896893199         
28620.13601391203         -6449.518242186553        740.5722164018173         1189.650017564107         -0.6943902227585446       -7.67377478240269         1.012420740137226         
28620.13601416666         -6449.533516604837        740.4033931079075         1189.672290419566         -0.6941932575175577       -7.673797390351267        1.01238430137826          
28620.13601442129         -6449.54878668988         740.2345693166797         1189.694562473363         -0.6939962918124731       -7.673819993144383        1.012347861937681         
28620.13601461805         -6449.560583333131        740.1041142283625         1189.711772147672         -0.693844090722577        -7.673837455407988        1.012319703721309         
28620.13601484953         -6449.574458424343        739.9506372738483         1189.732018210469         -0.6936650302622145       -7.673857995306342        1.012286575886896         
28620.13601505787         -6449.586942944495        739.8125076635873         1189.750239100496         -0.6935038755201981       -7.673876477571926        1.012256760354334         
28620.13601530092         -6449.601504551731        739.6513560311881         1189.771496127218         -0.6933158612622462       -7.673898035853157        1.012221974989722         
28620.13601554398         -6449.616062210664        739.4902039461143         1189.792752423441         -0.6931278465819626       -7.673919589436892        1.012187189004152         
28620.13601574074         -6449.627844090333        739.3597471648096         1189.809959366291         -0.6929756439124849       -7.673937034135527        1.012159028465805         
28620.13601594907         -6449.64031620152         739.2216161319825         1189.828177960446         -0.6928144878432867       -7.673955501637534        1.012129210981688         
28620.13601616898         -6449.653478060749        739.0758107922928         1189.847408116447         -0.6926443783227578       -7.673974991367698        1.012097736475786         
28620.13601640046         -6449.667329157685        738.9223310873448         1189.867649739862         -0.6924653152964422       -7.673995502718844        1.012064604867862         
28620.13601659722         -6449.679099774315        738.7918730156281         1189.884854598766         -0.6923131114232532       -7.674012934017249        1.012036442558357         
28620.13601680555         -6449.691559959905        738.6537406167307         1189.903070986358         -0.6921519540798252       -7.674031387330742        1.012006623198951         
28620.13601704861         -6449.706093176761        738.4925857315812         1189.924322760153         -0.6919639367876577       -7.674052911834449        1.011971833369829         
28620.13601724537         -6449.717855269945        738.3621266839959         1189.94152604193          -0.6918117320043169       -7.67407033299205         1.011943669720131         
28620.1360174537          -6449.730306430696        738.2239932520138         1189.959740759599         -0.691650573697417        -7.6740887755682          1.011913848941737         
28620.13601767361         -6449.743446175535        738.0781853803694         1189.978966823689         -0.6914804618154347       -7.674108238987673        1.011882370958646         
28620.13601787037         -6449.755200049638        737.9477253923054         1189.996168584593         -0.691328256155072        -7.674125650366573        1.011854206016735         
28620.13601805556         -6449.766260155714        737.824939250821          1190.012358039822         -0.6911850035167477       -7.674142034734526        1.011827697464517         
28620.13601826389         -6449.778700035343        737.6868045283284         1190.030570669974         -0.6910238440064895       -7.674160463888884        1.011797874912571         
28620.13601850695         -6449.793209561859        737.5256469328671         1190.051818060017         -0.6908358241869914       -7.674181960206861        1.011763081358938         
28620.13601870371         -6449.804952477113        737.3951856916532         1190.069017792983         -0.6906836173582198       -7.674199358547386        1.011734914694253         
28620.13601890047         -6449.816692804848        737.2647241546939         1190.086217047114         -0.6905314102537329       -7.674216753809388        1.011706747622831         
